trial	soa	soundFirst	response	sta
629	69	0.4	0	0	0.6
630	70	0.6	0	0	0.6
631	71	0.5	0	0	0.6
632	72	0.4	0	0	0.6
633	73	0.8	0	1	0.6
634	74	1	0	1	0.6
635	75	0.6	0	0	0.6
636	76	1.2	0	0	0.6
637	77	0.3	0	0	0.6
638	78	0.8	0	0	0.6
639	79	1.2	0	1	0.6
640	80	1	0	1	0.6
641	81	0.6	0	0	0.6
642	82	0.3	0	0	0.6
643	83	0.5	0	0	0.6
644	84	0.4	0	0	0.6
645	85	0.4	0	0	0.6
646	86	1	0	1	0.6
647	87	0.3	0	0	0.6
648	88	0.5	0	0	0.6
649	89	1.2	0	1	0.6
650	90	0.8	0	0	0.6
651	91	0.6	0	0	0.6
652	92	0.6	0	1	0.6
653	93	0.8	0	1	0.6
654	94	0.5	0	0	0.6
655	95	0.4	0	0	0.6
656	96	1	0	1	0.6
657	97	0.3	0	0	0.6
658	98	1.2	0	1	0.6
659	99	1.2	0	1	0.6
660	100	0.4	0	0	0.6
661	101	0.3	0	0	0.6
662	102	0.8	0	1	0.6
663	103	0.6	0	0	0.6
664	104	0.5	0	1	0.6
665	105	1	0	1	0.6
666	106	0.8	0	1	0.6
667	107	0.5	0	0	0.6
668	108	1	0	1	0.6
669	109	1.2	0	1	0.6
670	110	0.3	0	0	0.6
671	111	0.6	0	0	0.6
672	112	0.4	0	0	0.6
673	113	0.8	0	0	0.6
674	114	1.2	0	1	0.6
675	115	0.6	0	0	0.6
676	116	0.4	0	0	0.6
677	117	0.3	0	0	0.6
678	118	0.5	0	0	0.6
679	119	1	0	1	0.6
680	120	0.8	0	0	0.6
681	121	0.6	0	0	0.6
682	122	1	0	1	0.6
683	123	0.4	0	0	0.6
684	124	0.5	0	0	0.6
685	125	1.2	0	1	0.6
686	126	0.3	0	0	0.6
687	127	0.8	0	1	0.6
688	128	0.4	0	0	0.6
689	129	0.6	0	0	0.6
690	130	1.2	0	1	0.6
691	131	1	0	1	0.6
692	132	0.5	0	0	0.6
693	133	0.3	0	0	0.6
694	134	0.3	0	0	0.6
695	135	1.2	0	1	0.6
696	136	0.4	0	0	0.6
697	137	0.5	0	0	0.6
698	138	1	0	1	0.6
699	139	0.8	0	1	0.6
700	140	0.6	0	0	0.6
701	1	1.2	1	1	0.6
702	2	0.4	1	0	0.6
703	3	0.6	1	1	0.6
704	4	0.5	1	0	0.6
705	5	0.3	1	0	0.6
706	6	1	1	1	0.6
707	7	0.8	1	1	0.6
708	8	0.8	1	1	0.6
709	9	0.5	1	0	0.6
710	10	0.6	1	1	0.6
711	11	0.3	1	0	0.6
712	12	0.4	1	0	0.6
713	13	1.2	1	1	0.6
714	14	1	1	1	0.6
715	15	1.2	1	1	0.6
716	16	0.8	1	1	0.6
717	17	0.4	1	0	0.6
718	18	0.5	1	1	0.6
719	19	0.3	1	0	0.6
720	20	0.6	1	1	0.6
721	21	1	1	1	0.6
722	22	1	1	1	0.6
723	23	0.4	1	0	0.6
724	24	0.6	1	1	0.6
725	25	0.3	1	0	0.6
726	26	1.2	1	1	0.6
727	27	0.5	1	1	0.6
728	28	0.8	1	1	0.6
729	29	0.8	1	1	0.6
730	30	1	1	1	0.6
731	31	0.3	1	0	0.6
732	32	0.5	1	1	0.6
733	33	0.4	1	0	0.6
734	34	0.6	1	1	0.6
735	35	1.2	1	1	0.6
736	36	1.2	1	1	0.6
737	37	0.8	1	1	0.6
738	38	0.5	1	0	0.6
739	39	0.6	1	1	0.6
740	40	1	1	1	0.6
741	41	0.3	1	0	0.6
742	42	0.4	1	1	0.6
743	43	0.5	1	1	0.6
744	44	0.4	1	0	0.6
745	45	1.2	1	1	0.6
746	46	1	1	1	0.6
747	47	0.3	1	0	0.6
748	48	0.6	1	0	0.6
749	49	0.8	1	1	0.6
750	50	0.8	1	1	0.6
751	51	0.3	1	0	0.6
752	52	1.2	1	1	0.6
753	53	0.6	1	1	0.6
754	54	0.4	1	1	0.6
755	55	1	1	1	0.6
756	56	0.5	1	0	0.6
757	57	0.4	1	0	0.6
758	58	1.2	1	1	0.6
759	59	0.8	1	1	0.6
760	60	0.5	1	1	0.6
761	61	0.3	1	0	0.6
762	62	1	1	1	0.6
763	63	0.6	1	1	0.6
764	64	0.4	1	0	0.6
765	65	1	1	1	0.6
766	66	0.6	1	1	0.6
767	67	1.2	1	1	0.6
768	68	0.3	1	0	0.6
769	69	0.8	1	1	0.6
770	70	0.5	1	1	0.6
771	71	0.3	1	0	0.6
772	72	1	1	1	0.6
773	73	0.6	1	1	0.6
774	74	1.2	1	1	0.6
775	75	0.8	1	1	0.6
776	76	0.5	1	1	0.6
777	77	0.4	1	0	0.6
778	78	1.2	1	1	0.6
779	79	0.6	1	1	0.6
780	80	0.3	1	0	0.6
781	81	0.5	1	0	0.6
782	82	1	1	1	0.6
783	83	0.4	1	0	0.6
784	84	0.8	1	1	0.6
785	85	1	1	1	0.6
786	86	0.4	1	0	0.6
787	87	1.2	1	1	0.6
788	88	0.5	1	0	0.6
789	89	0.8	1	1	0.6
790	90	0.3	1	0	0.6
791	91	0.6	1	1	0.6
792	92	1	1	1	0.6
793	93	0.3	1	0	0.6
794	94	0.4	1	0	0.6
795	95	0.8	1	1	0.6
796	96	0.5	1	1	0.6
797	97	0.6	1	1	0.6
798	98	1.2	1	1	0.6
799	99	0.4	1	0	0.6
800	100	1	1	1	0.6
801	101	0.5	1	1	0.6
802	102	0.6	1	1	0.6
803	103	0.3	1	0	0.6
804	104	1.2	1	1	0.6
805	105	0.8	1	1	0.6
806	106	1	1	1	0.6
807	107	1.2	1	1	0.6
808	108	0.3	1	0	0.6
809	109	0.6	1	1	0.6
810	110	0.4	1	0	0.6
811	111	0.5	1	0	0.6
812	112	0.8	1	1	0.6
813	113	0.6	1	1	0.6
814	114	0.5	1	0	0.6
815	115	1	1	1	0.6
816	116	0.4	1	0	0.6
817	117	1.2	1	1	0.6
818	118	0.8	1	1	0.6
819	119	0.3	1	0	0.6
820	120	1	1	1	0.6
821	121	0.3	1	0	0.6
822	122	0.5	1	0	0.6
823	123	0.4	1	0	0.6
824	124	0.8	1	1	0.6
825	125	0.6	1	1	0.6
826	126	1.2	1	1	0.6
827	127	0.5	1	0	0.6
828	128	0.8	1	1	0.6
829	129	1.2	1	1	0.6
830	130	0.6	1	0	0.6
831	131	0.4	1	0	0.6
832	132	1	1	1	0.6
833	133	0.3	1	0	0.6
834	134	0.5	1	1	0.6
835	135	0.6	1	1	0.6
836	136	1.2	1	1	0.6
837	137	1	1	1	0.6
838	138	0.4	1	1	0.6
839	139	0.3	1	0	0.6
840	140	0.8	1	1	0.6
841	1	2.4	1	1	1.2
842	2	1	1	0	1.2
843	3	2	1	1	1.2
844	4	1.2	1	1	1.2
845	5	0.8	1	0	1.2
846	6	0.6	1	0	1.2
847	7	1.6	1	1	1.2
848	8	0.6	1	0	1.2
849	9	1.6	1	1	1.2
850	10	2.4	1	1	1.2
851	11	1.2	1	1	1.2
852	12	1	1	1	1.2
853	13	2	1	1	1.2
854	14	0.8	1	0	1.2
855	15	1	1	1	1.2
856	16	2.4	1	1	1.2
857	17	0.6	1	0	1.2
858	18	0.8	1	0	1.2
859	19	2	1	1	1.2
860	20	1.6	1	1	1.2
861	21	1.2	1	1	1.2
862	22	0.8	1	0	1.2
863	23	1	1	1	1.2
864	24	1.6	1	1	1.2
865	25	0.6	1	0	1.2
866	26	2	1	1	1.2
867	27	2.4	1	1	1.2
868	28	1.2	1	1	1.2
869	29	2.4	1	1	1.2
870	30	1.2	1	1	1.2
871	31	0.8	1	0	1.2
872	32	1.6	1	1	1.2
873	33	1	1	1	1.2
874	34	0.6	1	0	1.2
875	35	2	1	1	1.2
876	36	2	1	1	1.2
877	37	0.8	1	0	1.2
878	38	1	1	1	1.2
879	39	0.6	1	0	1.2
880	40	2.4	1	1	1.2
881	41	1.6	1	1	1.2
882	42	1.2	1	1	1.2
883	43	2	1	1	1.2
884	44	2.4	1	1	1.2
885	45	1	1	1	1.2
886	46	1.6	1	1	1.2
887	47	0.6	1	0	1.2
888	48	1.2	1	1	1.2
889	49	0.8	1	0	1.2
890	50	2.4	1	1	1.2
891	51	1.6	1	1	1.2
892	52	1.2	1	1	1.2
893	53	0.6	1	0	1.2
894	54	2	1	1	1.2
895	55	1	1	0	1.2
896	56	0.8	1	0	1.2
